movieId,tmdbId,popularity,vote_count,vote_average,budget,revenue,runtime
1,862,21.1331,19587,7.97,30000000,401157969,81
2,8844,3.1936,11128,7.245,65000000,262821940,104
3,15602,1.5198,415,6.482,25000000,71500000,101
4,31357,1.6817,192,6.247,16000000,81452156,127
5,11862,2.0601,792,6.272,0,76594107,106
6,949,16.6753,8114,7.928,60000000,187400000,170
7,11860,6.5902,672,6.215,58000000,53672080,127
8,45325,1.5785,205,5.3,0,23920048,97
9,9091,2.4225,787,6.01,35000000,64350171,110
10,710,9.1151,4231,6.898,60000000,352194034,130
11,9087,2.6612,767,6.534,62000000,107879496,113
12,12110,2.9048,1085,6.059,30000000,10772144,88
13,21032,4.3686,2146,7.305,31000000,11348324,78
14,10858,4.1422,388,6.861,44000000,13681765,192
15,1408,2.5116,603,5.777,102000000,16000000,124
16,524,8.137,6397,7.991,50000000,116112375,179
17,4584,6.5984,1807,7.424,16000000,134582776,136
18,5,3.1083,2804,5.891,4000000,4257354,98
19,9273,3.5303,4454,6.32,30000000,212385533,90
20,11517,2.7722,840,5.848,68000000,77224232,110
21,8012,3.0901,1182,6.495,30250000,115101622,105
22,1710,2.8232,1215,6.464,20000000,32000000,124
23,9691,3.2759,1674,6.493,50000000,30303072,132
24,12665,3.749,703,7.0,9500000,30900000,112
25,451,3.0885,1602,7.248,3600000,49800000,111
26,16420,0.8167,148,6.3,11000000,2800000,123
27,9263,1.9626,468,6.877,12000000,27400000,102
28,17015,3.652,140,7.1,1500000,5269757,104
29,902,2.0467,1186,7.237,18000000,1738611,112
30,37557,1.2811,107,6.752,2300000,0,108
31,9909,3.3085,1233,6.962,23000000,179519401,99
32,63,8.0289,8949,7.601,29000000,168841459,129
34,9598,7.305,3068,6.261,30000000,254100000,92
36,687,2.0289,1465,7.321,11000000,39363635,122
38,33689,2.168,953,6.5,14500000,19474589,101
39,9603,7.194,4720,7.256,12000000,56631572,97
40,34615,0.7599,26,6.7,0,676525,106
41,31174,1.5237,193,6.744,0,2748518,104
42,11443,2.4157,315,6.663,10000000,24100000,119
43,35196,1.437,129,6.0,19000000,4005941,117
44,9312,5.5317,2463,5.875,18000000,122195920,101
45,577,2.1799,860,6.6,20000000,21300000,106
46,11861,1.4508,191,6.39,10000000,41200020,116
47,807,19.0697,22681,8.379,33000000,327311859,127
48,10530,5.5265,5998,6.909,55000000,346079773,81
49,8391,0.7985,88,6.261,0,0,96
50,629,10.8187,11186,8.2,6000000,23300000,106
52,11448,1.9468,731,6.716,15000000,26000000,95
53,49133,3.4135,62,7.1,0,0,112
54,26441,1.1008,198,5.585,0,0,100
55,97406,1.0206,46,5.7,0,1110974,115
57,9089,1.4467,190,6.242,20000000,22119269,103
58,11010,1.909,1199,7.917,3000000,33000000,114
60,11359,1.8709,663,6.463,45000000,35700000,96
61,17182,2.0973,452,6.21,20000000,26877589,101
62,2054,1.8842,441,7.0,31000000,106300000,143
63,10607,6.728,1450,7.017,3800000,20100000,89
64,19760,0.7529,97,4.9,0,10658278,96
65,9536,2.2225,396,4.5,8500000,13400000,95
66,11525,1.1909,168,3.289,15000000,2409225,92
68,4482,1.253,318,6.1,0,0,95
69,10634,6.7145,1959,7.134,3500000,28215918,91
70,755,9.6593,6383,7.037,19000000,25800000,108
71,11859,1.4905,330,5.1,50000000,11500000,91
72,28387,0.7321,233,6.172,0,718490,96
73,48750,0.7312,84,6.649,0,0,175
74,20927,1.4609,122,5.847,0,19030691,87
75,36929,2.134,77,4.6,15000000,2042530,90
76,9102,1.6127,585,6.2,20000000,5781885,108
77,124626,0.1642,10,7.5,0,0,70
78,27526,0.7382,282,6.0,0,0,111
79,9623,2.5627,428,5.672,44000000,22754725,118
80,46785,0.6679,104,7.433,0,0,85
81,400,2.2789,418,6.453,8000000,529766,116
82,880,1.1405,142,6.842,900000,0,102
83,146599,0.2166,5,3.6,0,0,115
85,8447,0.9188,56,6.134,0,0,118
86,10534,1.774,395,6.266,38000000,10300000,129
87,17414,1.6417,241,5.369,16000000,0,88
88,13997,1.4839,448,6.069,32400000,32000000,86
89,2086,1.6653,783,6.227,33000000,8175346,89
92,9095,1.5391,337,5.755,47000000,12379402,108
